0000002000;scans;0000000052;DataLength
"header";0000000040;"lines"
"Date";26/10/2022;"Time";14:57:02
"ID";"EQP LOW ENERGY #15376";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1,00;200,00;1,00;100,000;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"1st-dynode";-3500;"V"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"D.C.quad";-12;"%"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"axis";-40,0;"V"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";70,0;"V"
"emission";2,0000;"uA"
"energy";1,10;"V"
"extractor";304;"V"
"flight-focus";-105;"V"
"focus2";-200;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = normal, 1 = invert)"
"horiz";11;"%"
"lens1";356;"V"
"lens2";-110;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"plates";7,40;"V"
"resolution";0;"%"
"suppressor";-200;"V"
"transit-energy";3,00;"V"
"vert";-34;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM c/s"
0000000002;00:00:22;0000022143;   20,00;        50
0000000002;00:00:22;0000022143;   21,00;         0
0000000002;00:00:22;0000022143;   22,00;         0
0000000002;00:00:22;0000022143;   23,00;         0
0000000002;00:00:22;0000022143;   24,00;       260
0000000002;00:00:22;0000022143;   25,00;      1590
0000000002;00:00:22;0000022143;   26,00;      9830
0000000002;00:00:22;0000022143;   27,00;      3400
0000000002;00:00:22;0000022143;   28,00;      7710
0000000002;00:00:22;0000022143;   29,00;      2830
0000000002;00:00:22;0000022143;   30,00;      1870
0000000002;00:00:22;0000022143;   31,00;        60
0000000002;00:00:22;0000022143;   32,00;        20
0000000002;00:00:22;0000022143;   33,00;         0
0000000002;00:00:22;0000022143;   34,00;         0
0000000002;00:00:22;0000022143;   35,00;         0
0000000002;00:00:22;0000022143;   36,00;        20
0000000002;00:00:22;0000022143;   37,00;       240
0000000002;00:00:22;0000022143;   38,00;       380
0000000002;00:00:22;0000022143;   39,00;      1920
0000000002;00:00:22;0000022143;   40,00;      1240
0000000002;00:00:22;0000022143;   41,00;      1850
0000000002;00:00:22;0000022143;   42,00;      1670
0000000002;00:00:22;0000022143;   43,00;      1870
0000000002;00:00:22;0000022143;   44,00;       320
0000000002;00:00:22;0000022143;   45,00;        30
0000000002;00:00:22;0000022143;   46,00;         0
0000000002;00:00:22;0000022143;   47,00;         0
0000000002;00:00:22;0000022143;   48,00;         0
0000000002;00:00:22;0000022143;   49,00;       100
0000000002;00:00:22;0000022143;   50,00;       140
0000000002;00:00:22;0000022143;   51,00;       200
0000000002;00:00:22;0000022143;   52,00;        80
0000000002;00:00:22;0000022143;   53,00;       130
0000000002;00:00:22;0000022143;   54,00;        80
0000000002;00:00:22;0000022143;   55,00;       380
0000000002;00:00:22;0000022143;   56,00;       440
0000000002;00:00:22;0000022143;   57,00;       310
0000000002;00:00:22;0000022143;   58,00;        30
0000000002;00:00:22;0000022143;   59,00;         0
0000000002;00:00:22;0000022143;   60,00;         0
0000000002;00:00:22;0000022143;   61,00;         0
0000000002;00:00:22;0000022143;   62,00;         0
0000000002;00:00:22;0000022143;   63,00;         0
0000000002;00:00:22;0000022143;   64,00;         0
0000000002;00:00:22;0000022143;   65,00;        70
0000000002;00:00:22;0000022143;   66,00;        30
0000000002;00:00:22;0000022143;   67,00;       200
0000000002;00:00:22;0000022143;   68,00;        50
0000000002;00:00:22;0000022143;   69,00;       120
0000000002;00:00:22;0000022143;   70,00;       170
0000000002;00:00:22;0000022143;   71,00;        50
0000000002;00:00:22;0000022143;   72,00;        30
0000000002;00:00:22;0000022143;   73,00;        50
0000000002;00:00:22;0000022143;   74,00;        30
0000000002;00:00:22;0000022143;   75,00;         0
0000000002;00:00:22;0000022143;   76,00;         0
0000000002;00:00:22;0000022143;   77,00;        50
0000000002;00:00:22;0000022143;   78,00;       190
0000000002;00:00:22;0000022143;   79,00;        40
0000000002;00:00:22;0000022143;   80,00;         0
0000000002;00:00:22;0000022143;   81,00;        50
0000000002;00:00:22;0000022143;   82,00;        10
0000000002;00:00:22;0000022143;   83,00;        70
0000000002;00:00:22;0000022143;   84,00;        30
0000000002;00:00:22;0000022143;   85,00;        10
0000000002;00:00:22;0000022143;   86,00;         0
0000000002;00:00:22;0000022143;   87,00;         0
0000000002;00:00:22;0000022143;   88,00;         0
0000000002;00:00:22;0000022143;   89,00;         0
0000000002;00:00:22;0000022143;   90,00;         0
0000000002;00:00:22;0000022143;   91,00;        90
0000000002;00:00:22;0000022143;   92,00;        40
0000000002;00:00:22;0000022143;   93,00;        10
0000000002;00:00:22;0000022143;   94,00;         0
0000000002;00:00:22;0000022143;   95,00;        10
0000000002;00:00:22;0000022143;   96,00;        10
0000000002;00:00:22;0000022143;   97,00;        20
0000000002;00:00:22;0000022143;   98,00;        10
0000000002;00:00:22;0000022143;   99,00;        10
0000000002;00:00:22;0000022143;  100,00;        10
0000000002;00:00:22;0000022143;  101,00;         0
0000000002;00:00:22;0000022143;  102,00;         0
0000000002;00:00:22;0000022143;  103,00;         0
0000000002;00:00:22;0000022143;  104,00;         0
0000000002;00:00:22;0000022143;  105,00;        10
0000000002;00:00:22;0000022143;  106,00;        10
0000000002;00:00:22;0000022143;  107,00;        10
0000000002;00:00:22;0000022143;  108,00;         0
0000000002;00:00:22;0000022143;  109,00;        10
0000000002;00:00:22;0000022143;  110,00;         0
0000000002;00:00:22;0000022143;  111,00;        20
0000000002;00:00:22;0000022143;  112,00;        20
0000000002;00:00:22;0000022143;  113,00;        10
0000000002;00:00:22;0000022143;  114,00;         0
0000000002;00:00:22;0000022143;  115,00;         0
0000000002;00:00:22;0000022143;  116,00;         0
0000000002;00:00:22;0000022143;  117,00;         0
0000000002;00:00:22;0000022143;  118,00;         0
0000000002;00:00:22;0000022143;  119,00;         0
